Customer Code,Business Name,Owner Name,Phone Number,Customer Type,Channel Type,Residential Type,Latitude,Longitude,Location,Created At
SS1001,A. OCANS,null,null,Retailer,Pharmacy,Urban,null,null,null,2016-11-04 06:52:14
SS1003,A & C MALL CLINIC,Kwadwo,,Wholesaler,\N,\N,5.6129487,-0.2012064,Accra,2016-11-04 06:52:14
SS1004,A BRAIMAH CHEMICALS,Abraimah,,Retailer,\N,\N,5.6249439,-0.2830103,Sowutom,2016-11-04 06:52:14
SS1005,JUAPONG PHARMACY,null,2,Retailer,Pharmacy,Urban,null,null,null,2016-11-04 06:52:14
SS1006,JUBILEE MATERNITY,null,233,Retailer,Private Health Facility,Urban,null,null,Kasoa,2016-11-04 06:52:14
SS1007,ABAADZE DOMINASS,Godsway,233240283915,Retailer,Pharmacy,Urban,null,null,Abaadze,2016-11-04 06:52:14
SS1008,ABABIO CLINIC,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1009,FAIRLADY  CLINIC,null,22,Retailer,Private Health Facility,Urban,null,null,Race cour,2016-11-04 06:52:14
SS1010,ABOABO CHPS ZONE,Josphine,233206709981,Retailer,\N,\N,0.0,0.0,Aboabo,2016-11-04 06:52:14
SS1011,ABODWE CLINIC,Maa Gina,233302320660,Retailer,Private Health Facility,Urban,5.53658,-0.243084,Mamprobi,2016-11-04 06:52:14
SS1012,ABOKOBI DISTRICT HEATH DIRECTORATE,Constance,233240672242,Retailer,Public Health Facility,Urban,null,null,Abokobi,2016-11-04 06:52:14
SS1013,ABOKOBI HEALTH CENTRE,Efua Pantsil,233244149612,Retailer,Public Health Facility,Urban,5.7351785,-0.2030419,Abokobi,2016-11-04 06:52:14
SS1014,ABOOM CLINIC,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1015,ABOTARE CLINIC,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1016,ABURA DUNKWA DISTRICT HOSPITAL,Sis Regina,233244221291,Retailer,Public Health Facility,Urban,5.6129746,-0.2011385,Abura,2016-11-04 06:52:14
SS1017,ABURA\, ASEBU KWAMANKESE H DIRECTORATE,Beatrice,233244773884,Retailer,Pharmacy,Urban,null,null,null,2016-11-04 06:52:14
SS1018,ABURA-DUNKWA HEALTH CENTRE,null,null,Retailer,Public Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1019,ACHIMOTA HOSPITAL,Perfect,233208193378,Retailer,Public Health Facility,Urban,5.6285045,-0.2178714,Achimota,2016-11-04 06:52:14
SS1020,ACHIMOTA TRANSPORT TERMINAL CLINIC,Phlipine,233208174452,Retailer,Public Health Facility,Urban,5.6204016,-0.2248572,Achimota,2016-11-04 06:52:14
SS1021,ADA EAST DISTRICT HOSPITAL,Edith,233202026838,Retailer,Public Health Facility,Urban,5.8943293,0.5395198,Ada,2016-11-04 06:52:14
SS1022,ADA HEALTH CENTRE,Lucy,233244124874,Retailer,Public Health Facility,Urban,5.7848923,0.6266456,Ada,2016-11-04 06:52:14
SS1023,ADABRAKA POLYCLINIC,Patience Mensah,233547573456,Retailer,Public Health Facility,Urban,5.56187161,-0.20517919,Adabraka,2016-11-04 06:52:14
SS1024,ADAM FAMILY MATERNITY,Martha,233243212850,Retailer,Private Health Facility,Urban,null,null,Odorkor,2016-11-04 06:52:14
SS1025,ADAWSO HEALTH CENTRE,Priscilla Gyasi,233245752710,Retailer,Private Health Facility,Urban,null,null,Adawso,2016-11-04 06:52:14
SS1026,ADENTA CLINIC,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1027,ADESA PHARMACY,Alice,233244628838,Retailer,Pharmacy,Urban,null,null,Odorkor,2016-11-04 06:52:14
SS1029,ADIDOME HEALTH CENTRE,Justina,233244983048,Retailer,Private Health Facility,Urban,null,null,Adidome,2016-11-04 06:52:14
SS1032,ADNIAD PHARMACY,Fred,233244740537,Retailer,Pharmacy,Urban,null,null,Adenta,2016-11-04 06:52:14
SS1033,ADOM CHEMICALS SHOP,Samuel,233278630951,Retailer,Chemical Shop,Urban,null,null,Akweley,2016-11-04 06:52:14
SS1034,ADOS MAT,null,null,Retailer,Non-Traditional Outlet,Urban,null,null,null,2016-11-04 06:52:14
SS1035,ADOS  MAT & FAMILY HEALTH ,Sophia Okoe,233244133198,Retailer,Private Health Facility,Urban,null,null,Apau Tinkong,2016-11-04 06:52:14
SS1036,ADS PHARMACY,Mca,233302246454,Retailer,Pharmacy,Urban,null,null,Kaneshie,2016-11-04 06:52:14
SS1037,ADWESO CLINIC,Anti Christie,233243403996,Retailer,Private Health Facility,Urban,null,null,Adweso,2016-11-04 06:52:14
SS1038,ADWOA BOATEMAA MEMORIAL CLINIC,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1039,AFADZATO SOUTH DISTRICT HEALTH DIRECTORATE,Dr. Nyarko,233574747200,Retailer,Public Health Facility,Urban,null,null,Afadzato,2016-11-04 06:52:14
SS1040,VE-GOLOKUATI H/C,Albert,233244407998,Retailer,\N,\N,6.601329,0.4512686,VE-GOLOKUATI,2016-11-04 06:52:14
SS1041,AGBOGBA COMMUNITY HOSPITAL,nu,null,Retailer,Public Health Facility,Urban,null,null,null,2016-11-04 06:52:14
